badid;bad;adresse1;adresse2;plz;ort;kanton;beckenid;becken;typ;Latitude;Longitude;returned address;accuracy;status code
58;Moossee;Gemeindeverwaltung;Schulhausstrasse 1;3302;Moosseedorf;BE;159;Moossee;See;47.01378;7.482452;Schulhausstrasse 1, 3302 Moosseedorf, Schweiz;9;200
59;Hirzenfeld;Sportzentrum Hirzenfeld;Radiostrasse 53;3053;Münchenbuchsee;BE;160;Schwimmerbecken (50m);Freibad;47.009407;7.445128;Radiostrasse 53, 3053 Münchenbuchsee, Schweiz;9;200
129;Parkbad;Belpbergstrasse 50;Belpbergstrasse 50;3110;Münsingen;BE;294;Schwimmbecken;Freibad;46.868379;7.550974;Belpbergstrasse 50, 3110 Münsingen, Schweiz;8;200
61;Aarebad;Aarebad;Kriegliweg;3074;Muri;BE;168;Schwimmerbecken;Freibad;46.92493;7.49079;Kriegliweg, 3074 Muri bei Bern, Schweiz;5;200
20;Hallen, Schwimm- und Strandbad;;Postfach 164;3280;Murten;FR;62;Schwimmerbecken;Freibad;46.929221;7.120184;Murten, Schweiz;3;200
38;Badi;Gemeindeverband;Schwimmbad Stämpfel;6244;Nebikon;LU;109;Hauptbecken;Freibad;47.199886;7.977227;Schwimmbad Stämpfel, 6244 Nebikon, Schweiz;9;200
128;Badi;Wolserstrasse 1575;Wolserstrasse 1575;8912;Obfelden;ZH;292;Schwimmbecken (25m);Freibad;47.259886;8.423797;Wolserstrasse, 8912 Obfelden, Schweiz;5;200
63;Freibad;Freibad Ostermundigen;Dennigkofenweg 120;3072;Ostermundigen;BE;172;Schwimmerbecken;Freibad;46.946187;7.491881;Dennigkofenweg 120, 3072 Ostermundigen, Schweiz;9;200
194;Canovasee;Canovasee;Lehrgut Canova;7417;Paspels;GR;399;Canovasee;See;46.744272;9.44874;Canova, 7417 Paspels, Schweiz;5;200
145;Alpamare;Alpamare;Gwattstrasse 12;8808;Pfäffikon;SZ;323;Bassin;Freibad;47.199176;8.791055;Gwattstrasse 12, 8808 Freienbach, Schweiz;9;200
212;Strandbad Baumen;Strandbad Baumen;Baumenstrasse 40;8330;Pfäffikon ZH;ZH;444;Pfäffikersee;See;47.359883;8.786509;Baumenstrasse 40, 8330 Pfäffikon, Schweiz;8;200
208;Portoroncobeach;Porto Ronco Beach;Di fronte alle isole di Brissago;6613;Porto Ronco;TI;427;Lago Maggiore;See;46.127194;8.729389618;;;
11;Schwimmbad Lido;Walter-Denzler-Strasse 6;Walter-Denzler-Strasse 6;8640;Rapperswil;SG;36;Schwimmerbecken;Freibad;47.222235;8.825326;Walter-Denzler-Strasse 6, 8640 Rapperswil-Jona, Schweiz;9;200
100;Kleinfeld;Hallen und Freibad;Kleinfeld;6262;Reiden;LU;232;Schwimmerbecken;Hallenbad;47.251273;7.974288;Kleinfeld, 6260 Reiden, Schweiz;5;200
50;Rhein;;Rhein;4310;Rheinfelden;AG;135;Rhein;Fluss;47.560553;7.799766;Rheinweg, 4310 Rheinfelden, Schweiz;5;200
35;Schwimmbad;Schwimmbad Roggwil / BE;Schwimmbadweg 15;4914;Roggwil;BE;104;Schwimmerbecken;Freibad;47.244566;7.823889;Schwimmbadweg 15, 4914 Roggwil, Schweiz;9;200
16;Seebad;Seebad;Badstrasse 50;8590;Romanshorn;TG;47;Schwimmerbecken;Freibad;47.572631;9.376382;Badstrasse 50, 8590 Romanshorn, Schweiz;9;200
218;Schwimmbad Rotkreuz;Buonaserstrasse 33a;Buonaserstrasse 33a;6343;Rotkreuz;ZG;460;Schwimmbecken (50m);Freibad;47.140765;8.44033;Buonaserstrasse 33, 6343 Risch-Rotkreuz, Schweiz;9;200
111;Schwimmbad;Schwimmbad Eywald;Schwimmbad Eywald;3154;Rüschegg-Heubach;BE;258;Schwimmbecken;Freibad;46.760421;7.420799;Eywald, 3154 Rüschegg, Schweiz;5;200
112;Freibad;Freibad;An der Schwarz;8630;Rüti;ZH;259;Schwimmbecken;Freibad;47.26091;8.84555;Schwarz, 8630 Rüti, Schweiz;5;200
200;Erlebnisbad Seefeld;Seefeld Park Sarnen;Seestrasse 20;6060;Sarnen;OW;408;Panoramabad (25m);Freibad;46.885955;8.244336;Seestrasse, 6060 Sarnen, Schweiz;5;200
141;Strandbad;Provisorisches Seebad Sarnen;Seestrasse;6060;Sarnen;OW;319;Sarnersee;See;46.885955;8.244336;Seestrasse, 6060 Sarnen, Schweiz;5;200
125;Inn;;Inn;7525;S-chanf;GR;289;Inn;Fluss;46.586683;10.053776;7525 Scanfs, Schweiz;3;200
131;Schwarzsee;Schwarzsee Tourismus;Schwarzseestrasse 212;1716;Schwarzsee;FR;298;Schwarzsee;See;46.680066;7.293842;Schwarzseestrasse, 1716 Plaffeien, Schweiz;5;200
55;Schwimmbad Weiher;Schwimmbad Weiher;Landstr. 26;8472;Seuzach;ZH;141;Schwimmerbecken;Freibad;47.53424457;8.726233642;;;
186;Hotel Schweizerhof;Hotel Schweizerhof;Hotel Schweizerhof;7514;Sils/Segl Maria;GR;386;Aussenbad;Freibad;46.4284;9.762619;Club-Hotel Schweizerhof, 7514 Sils im Engadin/Segl, Schweiz;9;200
51;Rhone;;Rhone;1950;Sion;VS;136;Rhone;Fluss;46.23235;7.36126;Rue du Rhône, 1950 Sion, Schweiz;5;200
69;Freibad;;Freibad;4500;Solothurn;SO;182;Schwimmbecken;Freibad;47.179182;7.580137;Schwimmbadstrasse, 4552 Derendingen, Schweiz;5;200
5;Frei- und Seebad;Freibad / Seebad Spiez;Schachenstrasse 17;3700;Spiez;BE;13;Sprungbecken;Freibad;46.687875;7.685045;Schachenstrasse 17, 3700 Spiez, Schweiz;9;200
184;Freibad Rotmonten;Freibad Rotmonten;Waldgutstrasse;9012;St. Gallen;SG;383;Schwimmbecken;Freibad;47.4364;9.37375;Waldgutstrasse, 9010 St. Gallen, Schweiz;5;200
181;Gemeinschaftsbad Dreilinden Mannenweier;Gemeinschaftsbad Dreilinden;Bitzistrasse;9011;St. Gallen;SG;376;Mannenweier;See;47.420137;9.385425;Bitzistrasse, 9011 St. Gallen, Schweiz;5;200
